"","date","an","mois","jour","semaine","produit","type","nb_de_ventes"
"1",2024-12-01,"2024",12,1,48,"FXD JET 100","VENTES DIRECTES",98
"2",2024-12-02,"2024",12,2,49,"FXD JET 100","VENTES DIRECTES",97
"3",2024-12-03,"2024",12,3,49,"FXD JET 100","VENTES DIRECTES",98
"4",2024-12-04,"2024",12,4,49,"FXD JET 100","VENTES DIRECTES",99
"5",2024-12-05,"2024",12,5,49,"FXD JET 100","VENTES DIRECTES",100
"6",2024-12-06,"2024",12,6,49,"FXD JET 100","VENTES DIRECTES",100
"7",2024-12-07,"2024",12,7,49,"FXD JET 100","VENTES DIRECTES",100
"8",2024-12-08,"2024",12,8,49,"FXD JET 100","VENTES DIRECTES",100
"9",2024-12-09,"2024",12,9,50,"FXD JET 100","VENTES DIRECTES",103
"10",2024-12-10,"2024",12,10,50,"FXD JET 100","VENTES DIRECTES",103
"11",2024-12-11,"2024",12,11,50,"FXD JET 100","VENTES DIRECTES",103
"12",2024-12-12,"2024",12,12,50,"FXD JET 100","VENTES DIRECTES",103
"13",2024-12-13,"2024",12,13,50,"FXD JET 100","VENTES DIRECTES",103
"14",2024-12-14,"2024",12,14,50,"FXD JET 100","VENTES DIRECTES",103
"15",2024-12-15,"2024",12,15,50,"FXD JET 100","VENTES DIRECTES",104
"16",2024-12-16,"2024",12,16,51,"FXD JET 100","VENTES DIRECTES",104
"17",2024-12-17,"2024",12,17,51,"FXD JET 100","VENTES DIRECTES",103
"18",2024-12-18,"2024",12,18,51,"FXD JET 100","VENTES DIRECTES",102
"19",2024-12-19,"2024",12,19,51,"FXD JET 100","VENTES DIRECTES",101
"20",2024-12-20,"2024",12,20,51,"FXD JET 100","VENTES DIRECTES",102
"21",2024-12-21,"2024",12,21,51,"FXD JET 100","VENTES DIRECTES",102
"22",2024-12-22,"2024",12,22,51,"FXD JET 100","VENTES DIRECTES",102
"23",2024-12-23,"2024",12,23,52,"FXD JET 100","VENTES DIRECTES",103
"24",2024-12-24,"2024",12,24,52,"FXD JET 100","VENTES DIRECTES",104
"25",2024-12-25,"2024",12,25,52,"FXD JET 100","VENTES DIRECTES",103
"26",2024-12-26,"2024",12,26,52,"FXD JET 100","VENTES DIRECTES",102
"27",2024-12-27,"2024",12,27,52,"FXD JET 100","VENTES DIRECTES",102
"28",2024-12-28,"2024",12,28,52,"FXD JET 100","VENTES DIRECTES",101
"29",2024-12-29,"2024",12,29,52,"FXD JET 100","VENTES DIRECTES",103
"30",2024-12-30,"2024",12,30,53,"FXD JET 100","VENTES DIRECTES",104
"31",2024-12-31,"2024",12,31,53,"FXD JET 100","VENTES DIRECTES",104
